"Lauksaimniecības produktu cenas (eiro par tonnu, bez PVN) - Produktu veids un Laika periods"

"Produktu veids","2020","2021","2022","2023","2024"
"Graudi",164.94,196.84,286.59,208.33,193.95
"Kvieši",170.36,202.01,289.61,211.66,199.26
"Pārtikas kvieši",173.67,207.13,296.24,218.59,206.79
"Rudzi",116.91,152.46,240.05,164.94,141.29
"Pārtikas rudzi",118.04,154.40,241.19,167.44,141.51
"Griķi",439.90,741.24,667.00,215.36,278.80
"Mieži",142.70,184.41,272.51,180.51,152.57
"Alus mieži",171.24,210.12,305.37,239.52,207.43
"Pārtikas mieži",154.61,176.93,292.30,188.67,168.54
"Auzas",151.05,161.27,270.98,210.73,191.65
"Pārtikas auzas",168.27,185.74,285.38,223.97,209.35
"Tritikāle",132.61,170.93,287.52,165.68,152.61
"Graudaugu maisījums",130.71,…,…,…,…
"Pākšaugi",219.28,251.81,347.76,240.32,264.14
"Rapša sēklas",358.75,477.62,574.51,408.64,456.09
"Kartupeļi",136.73,152.62,219.97,215.64,229.81
"Pārtikas kartupeļi",152.80,168.10,246.08,257.69,289.38
"Dārzeņi",686.87,812.85,850.56,877.43,900.06
"Galviņkāposti",168.61,212.11,241.89,264.26,258.09
"Ziedkāposti",804.37,846.52,894.87,868.48,1017.50
"Tomāti",1479.73,1634.24,1822.94,1789.12,2156.75
"Salāti",3898.51,4184.27,4692.84,5035.28,4437.12
"Gurķi",1798.57,1930.88,2078.48,2192.00,2212.44
"Burkāni",166.09,233.60,296.01,329.92,358.43
"Sīpoli",231.35,260.71,310.55,382.18,351.75
"Galda bietes",119.53,149.33,273.39,236.88,242.48
"Āboli",715.56,669.74,889.54,866.24,774.42
"Bumbieri",1309.27,1327.20,1327.54,1328.81,1348.00
"Plūmes",1668.82,1644.63,1789.82,1609.09,1962.66
"Skābie ķirši",1814.84,1677.27,2306.50,2916.02,2601.94
"Saldie ķirši",2694.88,2992.20,4035.56,3313.33,3832.78
"Upenes",922.27,1109.85,1440.39,1357.48,1501.09
"Zemenes",2803.92,2008.57,3293.10,5037.78,5402.37
"Avenes",2501.59,2741.09,3311.18,4909.56,5235.88
"Cukurbietes",…,…,…,…,…
"Gaļa",1509.99,1460.44,1870.94,2212.41,2306.77
"Liellopu gaļa",1859.63,2146.51,3021.11,2686.23,2914.49
"Cūkgaļa",1477.73,1301.72,1715.94,2300.49,2134.40
"Aitas gaļa",3441.33,3980.70,4772.18,4755.06,4874.71
"Mājputnu gaļa",1875.54,2033.89,2402.64,2686.50,3413.82
"Govs svaigpiens",280.93,318.01,471.18,355.05,406.26
"Vilna",781.67,742.95,748.86,747.68,876.14
"Medus",3810.66,3442.59,3911.11,3657.05,3521.39
"Olas, 100 gab.",7.13,7.18,10.21,12.87,11.89
